,id,date,trip,max_temp,min_temp,avg_temp,precip,weekday,weight,bmi,fat,calories,steps,distance,floors,mins_sedentary,mins_light_active,mins_fairly_active,mins_very_active,calories_activity,mins_asleep,activity_level,steps_level,sleep_cat,weekday2,covid,month2,covid2
32,32,2019-11-01,0,77,46,61.5,0,Friday,140.58,22.87,NA,2759,14582,6.37,28,535,557,0,0,1804,327,Very High Activity,High Step Count,Short Sleep Time,Friday,0,NA,0
33,33,2019-11-02,0,85,54,69.5,0,Saturday,140.64,22.87,NA,2900,10893,4.75,23,646,486,30,8,1851,NA,Very High Activity,High Step Count,NA,Saturday,0,NA,0
34,34,2019-11-03,0,82,54,68,0,Sunday,140.69,22.88,NA,1826,2781,1.17,6,1291,149,0,0,449,NA,Low Activity,Low Step Count,NA,Sunday,0,NA,0
35,35,2019-11-04,0,85,49,67,0,Monday,140.75,22.89,NA,2395,14550,6.49,44,1153,192,32,63,1209,NA,High Activity,High Step Count,NA,Monday,0,NA,0
36,36,2019-11-05,0,85,52,68.5,0,Tuesday,140.8,22.9,NA,1805,4506,1.97,14,711,155,9,3,513,500,Low Activity,Low Step Count,Ideal Sleep Time,Tuesday,0,NA,0
37,37,2019-11-06,0,85,51,68,0,Wednesday,140.86,22.91,NA,2261,13592,5.94,39,671,129,23,17,674,526,High Activity,High Step Count,Ideal Sleep Time,Wednesday,0,NA,0
38,38,2019-11-07,0,87,49,68,0,Thursday,140.91,22.92,NA,1952,6912,3.02,37,1273,138,19,10,592,NA,Low Activity,Average Step Count,NA,Thursday,0,NA,0
39,39,2019-11-08,0,92,57,74.5,0,Friday,141,22.93,NA,2076,8758,3.83,26,1202,202,24,12,839,NA,Average Activity,Average Step Count,NA,Friday,0,NA,0
40,40,2019-11-09,0,92,59,75.5,0,Saturday,141.4,23,NA,2957,14269,6.22,29,442,386,48,47,1877,450,Very High Activity,High Step Count,Ideal Sleep Time,Saturday,0,NA,0
41,41,2019-11-10,1,NA,NA,NA,NA,Sunday,141.79,23.06,NA,2341,7241,3.16,19,947,232,25,8,990,NA,High Activity,Average Step Count,NA,Sunday,0,NA,0
42,42,2019-11-11,1,NA,NA,NA,NA,Monday,142.19,23.13,NA,1889,6665,2.91,20,1292,128,9,11,568,NA,Low Activity,Average Step Count,NA,Monday,0,NA,0
43,43,2019-11-12,1,NA,NA,NA,NA,Tuesday,142.59,23.19,NA,1437,NA,NA,0,1440,NA,NA,NA,0,NA,Low Activity,NA,NA,Tuesday,0,NA,0
44,44,2019-11-13,1,NA,NA,NA,NA,Wednesday,142.99,23.26,NA,1471,NA,NA,NA,1184,NA,NA,NA,19,NA,Low Activity,Low Step Count,NA,Wednesday,0,NA,0
45,45,2019-11-14,0,77,50,63.5,0,Thursday,143.39,23.32,NA,1439,NA,NA,NA,1440,NA,NA,NA,NA,NA,Low Activity,Low Step Count,NA,Thursday,0,NA,0
46,46,2019-11-15,1,NA,NA,NA,NA,Friday,143.79,23.39,NA,2186,7135,3.12,11,1023,296,0,0,959,NA,High Activity,Average Step Count,NA,Friday,0,NA,0
47,47,2019-11-16,1,NA,NA,NA,NA,Saturday,144.19,23.45,NA,3120,23184,10.13,67,940,344,88,68,2067,NA,Very High Activity,Very High Step Count,NA,Saturday,0,NA,0
48,48,2019-11-17,1,NA,NA,NA,NA,Sunday,144.59,23.52,NA,2381,9094,3.97,18,677,348,14,2,1209,358,High Activity,Average Step Count,Short Sleep Time,Sunday,0,NA,0
49,49,2019-11-18,0,91,57,74,0,Monday,145,23.58,NA,2234,11710,5.12,69,573,206,24,35,1003,544,High Activity,High Step Count,Long Sleep Time,Monday,0,NA,0
50,50,2019-11-19,0,92,59,75.5,0,Tuesday,144.85,23.56,NA,1916,5460,2.39,17,779,190,0,0,615,404,Low Activity,Average Step Count,Short Sleep Time,Tuesday,0,NA,0
51,51,2019-11-20,0,80,53,66.5,0,Wednesday,144.7,23.53,NA,2175,9800,4.28,22,793,274,8,14,977,297,Average Activity,Average Step Count,Short Sleep Time,Wednesday,0,NA,0
52,52,2019-11-21,0,55,48,51.5,0.17,Thursday,144.55,23.51,NA,2226,10880,4.75,67,632,158,33,33,941,527,High Activity,High Step Count,Ideal Sleep Time,Thursday,0,NA,0
53,53,2019-11-22,0,66,48,57,0,Friday,144.4,23.49,NA,2132,9429,4.12,28,786,223,13,15,879,351,Average Activity,Average Step Count,Short Sleep Time,Friday,0,NA,0
54,54,2019-11-23,0,70,48,59,0,Saturday,142.6,23.19,NA,2060,6198,2.71,12,486,250,0,0,803,592,Average Activity,Average Step Count,Long Sleep Time,Saturday,0,NA,0
55,55,2019-11-24,0,73,46,59.5,0,Sunday,142.73,23.21,NA,2523,13801,6.03,26,1086,287,48,19,1357,NA,Very High Activity,High Step Count,NA,Sunday,0,NA,0
56,56,2019-11-25,0,77,46,61.5,0,Monday,142.86,23.24,NA,1930,6481,2.83,16,551,178,6,3,642,609,Low Activity,Average Step Count,Long Sleep Time,Monday,0,NA,0
57,57,2019-11-26,0,70,47,58.5,0,Tuesday,143,23.26,NA,1917,5678,2.48,13,615,200,0,0,639,557,Low Activity,Average Step Count,Long Sleep Time,Tuesday,0,NA,0
58,58,2019-11-27,1,NA,NA,NA,NA,Wednesday,142.64,23.2,NA,2147,8022,3.49,29,1148,292,0,0,954,NA,Average Activity,Average Step Count,NA,Wednesday,0,NA,0
59,59,2019-11-28,1,NA,NA,NA,NA,Thursday,142.28,23.14,NA,2508,7686,3.36,17,704,435,0,0,1380,NA,Very High Activity,Average Step Count,NA,Thursday,0,NA,0
60,60,2019-11-29,1,NA,NA,NA,NA,Friday,141.92,23.08,NA,2681,16177,7.06,45,793,140,0,0,476,454,Very High Activity,Very High Step Count,Ideal Sleep Time,Friday,0,NA,0
61,61,2019-11-30,1,NA,NA,NA,NA,Saturday,141.56,23.02,NA,3164,14085,6.15,44,277,518,38,30,2213,517,Very High Activity,High Step Count,Ideal Sleep Time,Saturday,0,NA,0
62,62,2019-12-01,1,NA,NA,NA,NA,Sunday,141.72,23.05,NA,2134,7000,3.02,22,682,247,11,0,875,447,Average Activity,Average Step Count,Ideal Sleep Time,Sunday,0,NA,0
63,63,2019-12-02,0,60,37,48.5,0,Monday,141.46,23.01,NA,2323,14498,6.33,87,630,197,30,51,1125,469,High Activity,High Step Count,Ideal Sleep Time,Monday,0,NA,0
64,64,2019-12-03,0,69,50,59.5,0,Tuesday,141.2,22.97,NA,2676,15839,7.47,23,596,288,24,61,1549,405,Very High Activity,Very High Step Count,Short Sleep Time,Tuesday,0,NA,0
65,65,2019-12-04,0,66,51,58.5,0.47,Wednesday,141.17,22.96,NA,2099,6499,2.84,20,548,284,0,0,896,517,Average Activity,Average Step Count,Ideal Sleep Time,Wednesday,0,NA,0
66,66,2019-12-05,0,57,48,52.5,0.65,Thursday,141.15,22.96,NA,1739,3670,1.6,7,1104,131,0,0,409,NA,Low Activity,Low Step Count,NA,Thursday,0,NA,0
67,67,2019-12-06,0,64,49,56.5,0,Friday,141.13,22.95,NA,2490,12324,6.08,24,539,242,22,53,1317,509,Very High Activity,High Step Count,Ideal Sleep Time,Friday,0,NA,0
68,68,2019-12-07,0,65,55,60,M,Saturday,141.11,22.95,NA,2365,8924,3.9,17,911,373,8,0,1248,NA,High Activity,Average Step Count,NA,Saturday,0,NA,0
69,69,2019-12-08,0,65,57,61,M,Sunday,141.09,22.95,NA,2051,6141,2.68,13,736,244,0,0,772,408,Average Activity,Average Step Count,Short Sleep Time,Sunday,0,NA,0
70,70,2019-12-09,0,61,46,53.5,0.25,Monday,141.06,22.94,NA,1864,5149,2.25,17,763,175,0,0,571,439,Low Activity,Average Step Count,Ideal Sleep Time,Monday,0,NA,0
71,71,2019-12-10,0,66,45,55.5,0,Tuesday,141.04,22.94,NA,2399,13850,6.58,44,643,172,25,59,1179,483,High Activity,High Step Count,Ideal Sleep Time,Tuesday,0,NA,0
72,72,2019-12-11,0,67,45,56,0,Wednesday,141.02,22.94,NA,2197,9368,4.03,26,1160,251,11,18,993,NA,High Activity,Average Step Count,NA,Wednesday,0,NA,0
73,73,2019-12-12,0,66,49,57.5,0,Thursday,141,22.93,NA,1935,4849,2.12,12,737,174,12,2,609,469,Low Activity,Low Step Count,Ideal Sleep Time,Thursday,0,NA,0
74,74,2019-12-13,0,70,50,60,0,Friday,141.08,22.95,NA,2707,17483,8.42,54,599,272,31,64,1567,396,Very High Activity,Very High Step Count,Short Sleep Time,Friday,0,NA,0
75,75,2019-12-14,0,73,53,63,0.01,Saturday,141.15,22.96,NA,2396,10952,4.76,22,894,344,15,14,1253,NA,High Activity,High Step Count,NA,Saturday,0,NA,0
76,76,2019-12-15,0,60,45,52.5,0,Sunday,141.23,22.97,NA,1950,5214,2.26,17,646,200,6,4,672,513,Low Activity,Average Step Count,Ideal Sleep Time,Sunday,0,NA,0
77,77,2019-12-16,0,62,41,51.5,0,Monday,141.31,22.98,NA,1875,4752,2.08,10,479,211,0,0,616,522,Low Activity,Low Step Count,Ideal Sleep Time,Monday,0,NA,0
78,78,2019-12-17,0,67,39,53,0,Tuesday,141.4,23,NA,2235,10784,4.71,72,528,222,22,41,1055,738,High Activity,High Step Count,Long Sleep Time,Tuesday,0,NA,0
79,79,2019-12-18,0,65,41,53,0,Wednesday,141.61,23.03,NA,1995,7148,3.12,24,731,165,12,12,693,444,Average Activity,Average Step Count,Ideal Sleep Time,Wednesday,0,NA,0
80,80,2019-12-19,1,NA,NA,NA,NA,Thursday,141.82,23.07,NA,2327,10339,4.74,30,714,272,22,11,1104,376,High Activity,High Step Count,Short Sleep Time,Thursday,0,NA,0
81,81,2019-12-20,1,NA,NA,NA,NA,Friday,142.04,23.1,NA,2260,11272,4.92,24,797,237,5,6,779,368,High Activity,High Step Count,Short Sleep Time,Friday,0,NA,0
82,82,2019-12-21,1,NA,NA,NA,NA,Saturday,142.25,23.14,NA,2078,9559,4.18,24,841,34,0,0,89,476,Average Activity,Average Step Count,Ideal Sleep Time,Saturday,0,NA,0
83,83,2019-12-22,1,NA,NA,NA,NA,Sunday,142.46,23.17,NA,1824,5180,2.26,6,1395,45,0,0,149,NA,Low Activity,Average Step Count,NA,Sunday,0,NA,0
